book,chapter,chapter_rom,verse,text
Ps,7,VII,7,exsurge Domine in ira tua et exaltare in finibus inimicorum tuorum exsurge Domine Deus meus in praecepto quod mandasti
Ps,7,VII,8,et synagoga populorum circumdabit te et propter hanc in altum regredere
Ps,7,VII,9,Domine iudica populos iudica me Domine secundum iustitiam meam et secundum innocentiam manuum mearum super me
Ps,7,VII,10,consummetur nequitia peccatorum et dirige iustum scrutans corda et renes Deus
Ps,7,VII,11,iustum adiutorium meum a Domino qui saluos facit rectos corde
Ps,7,VII,12,Deus iudex iustus fortis et longanimis numquid irascitur per singulos dies
Ps,7,VII,13,nisi conuertamini gladium suum uibrauit arcum suum tetendit et parauit illum
Ps,7,VII,14,et in ipso parauit uasa mortis sagittas suas ardentibus effecit
Ps,7,VII,15,ecce parturit iniustitiam concepit dolorem et peperit iniquitatem
Ps,7,VII,16,lacum aperuit et effodit eum et incidit in foueam quam fecit
Ps,7,VII,17,conuertetur dolor eius in capite eius et in uertice eius iniquitas eius descendet
Ps,7,VII,18,confitebor Domino secundum iustiam eius et psallam nomini Domini altissimi.
Ps,8,VIII,1,IN FINEM PRO TORCULARIBVS PSALMVS DAVID
Ps,8,VIII,2,Domine Dominus noster quam admirabile est nomen tuum in uniuersa terra quoniam eleuata est magnificentia tua super caelos
Ps,8,VIII,3,ex ore infantium et lactantium perfecisti laudem propter inimicos tuos ut destruas inimicum et defensorem
Ps,8,VIII,4,quoniam uidebo caelos opera digitorum tuorum lunam et stellas quas tu fundasti
Ps,8,VIII,5,quid est homo quod memor es eius aut filius hominis quoniam uisitas eum
Ps,8,VIII,6,minuisti eum paulo minus ab angelis gloria et honore coronasti eum
Ps,8,VIII,7,et constituisti eum super opera manuum tuarum
Ps,8,VIII,8,omnia subiecisti sub pedibus eius oues et boues uniuersa insuper et pecora campi
Ps,8,VIII,9,uolucres caeli et pisces maris qui perambulant semitas maris
Ps,8,VIII,10,Domine Dominus noster quam admirabile est nomen tuum in uniuersa terra.
Ps,9,IX,1,IN FINEM PRO OCCVLTIS FILII PSALMVS DAVID
Ps,9,IX,2,Confitebor tibi Domine in toto corde meo narrabo omnia mirabilia tua
Ps,9,IX,3,laetabor et exultabo in te et psallam nomini tuo Altissime
Ps,9,IX,4,in conuertendo inimicum meum retrorsum infirmabuntur et perient a facie tua
Ps,9,IX,5,quoniam fecisti iudicium meum et causam meam sedes super thronum qui iudicas aequitatem
Ps,9,IX,6,increpasti gentes et periit impius nomen eorum delisti in aeternum et in saeculum saeculi
Ps,9,IX,7,inimici defecerunt framea in finem et ciuitates eorum destruxisti perit memoria eorum cum sonitu
Ps,9,IX,8,et Dominus in aeternum permanet parauit in iudicio sedem suam
Ps,9,IX,9,et ipse iudicabit orbem terrae in aequitate iudicabit populos cum iustitia
Ps,9,IX,10,et factus est Dominus refugium pauperum adiutor in oportunitatibus in tribulatione
Ps,9,IX,11,et sperent in te omnes qui nouerunt nomen tuum quoniam non derelinques quaerentes te Domine
Ps,9,IX,12,psallite Domino qui habitat in Sion adnuntiate inter gentes mirabilia eius
Ps,9,IX,13,quoniam requirens sanguinem eorum memoratus est et non est oblitus orationem pauperum
Ps,9,IX,14,miserere mihi Domine et uide humilitatem meam de inimicis meis
Ps,9,IX,15,qui exaltas me de portis mortis ut adnuntiem omnes laudes tuas in portis filiae Sion
Ps,9,IX,16,exultabo in salutari tuo infixae sunt gentes in interitu quem fecerunt in laqueo isto quem occultauerunt mihi conprehensus est pes eorum
Ps,9,IX,17,cognoscitur Dominus iudicia faciens in operibus manuum suarum conprehensus est peccator
Ps,9,IX,18,conuertantur peccatores in infernum omnes gentes quae obliuiscuntur Dominum
Ps,9,IX,19,quoniam non in finem obliuio erit pauperum patientia pauperum non peribit in finem
Ps,9,IX,20,exsurge Domine non praeualeat homo iudicentur gentes in conspectu tuo
Ps,9,IX,21,constitue Domine legislatorem super eos ut sciant gentes quoniam homines sunt
Ps,9,IX,22,ut quid Domine recessisti longe despicis in oportunitatibus in tribulatione
Ps,9,IX,23(2),dum superbit impius incenditur pauper conprehenduntur in cogitationibus suis quas cogitant
Ps,9,IX,24(3),quoniam laudatur peccator in desideriis animae suae et qui iniqua gerit benedicitur
Ps,9,IX,25(4),inritauit Dominum peccator secundum multitudinem irae suae non inquiret
Ps,9,IX,26(5),non est Deus in conspectu eius polluuntur uiae. eius in omni tempore auferuntur iudicia tua a facie eius omnium inimicorum suorum dominabitur
Ps,9,IX,27(6),dixit enim in- corde suo non mouebor. de generatione in generationem sine malo
Ps,9,IX,28(7),cuius os maledictione et amaritudine plenum est et dolo sub lingua eius labor et dolor
Ps,9,IX,29(8),sedet in insidiis cum diuitibus in occultis ut interficiat innocentem
Ps,9,IX,30(9),oculi eius in pauperem respiciunt insidiatur in occulto. sicut leo in cubili suo insidiatur ut rapiat pauperem rapere pauperem dum abstrahit eum
Ps,9,IX,31(10),in laqueo suo humiliabit eum inclinabit se et cadet dum dominabitur pauperi
Ps,9,IX,32(11),dixit enim in corde suo oblitus est Deus auertit faciem suam ne uideat usque in finem
Ps,9,IX,33(12),exsurge Domine Deus meus et exaltetur manus tua ne obliuiscaris pauperum in finem
Ps,9,IX,34(13),propter quid inritauit impius Dominum dixit enim in corde suo non requiret Deus
Ps,9,IX,35(14),uides quoniam tu laborem et dolorem consideras ut tradas eos in manibus tuis tibi enim derelictus est pauper pupillo tu eris adiutor
Ps,9,IX,36(15),contere brachium peccatoris et maligni requiretur delictum eius nec inuenietur
Ps,9,IX,37(16),regnauit Dominus in aeternum et in saeculum saeculi peribitis gentes de terra eius
Ps,9,IX,38(17),desiderium pauperum exaudiuit Dominus desideria cordis eorum exaudiuit auris tua
Ps,9,IX,39(18),iudicare pupillo et humili ut non adponat ultra magnificare se homo super terram.
Ps,10,X,1,IN FINEM PSALMVS DAVID
Ps,10,X,2,In Domino confido quomodo dicitis animae meae transmigra in montem sicut passer
Ps,10,X,3,quoniam ecce peccatores tetenderunt arcum parauerunt sagittas suas in faretra ut sagittent in obscuro rectos corde
Ps,10,X,4,quoniam quae perfecisti destruxerunt iustus autem quid fecit
Ps,10,X,5,Dominus in templo sancto suo Dominus in caelo sedis eius oculi eius in pauperem respiciunt palpebrae eius interrogant filios hominum
Ps,10,X,6,Dominus interrogat iustum et impium qui autem diligit iniquitatem odit animam suam pluit super peccatores laqueos ignis sulphur et spiritus procellarum pars calicis eorum
Ps,10,X,7,quoniam iustus Dominus iustitiam dilexit aequitatem uidit uultus eius.
Ps,11,XI,1,IN FINEM PRO OCTAVA DIE PSALMVS DAVID
Ps,11,XI,2,Saluum me fac Domine quoniam defecit sanctus quoniam deminutae sunt ueritates a filiis hominum
Ps,11,XI,3,uana locuti sunt unusquisque ad proximum suum labia dolosa in corde et corde locuti sunt mala
